"","vazaoMedia","vazaoAtual","milimitroHora","milimitroDia","milimitroSeteDias","temperatura","velocidadeVento","costa","cidade","vegetacao","montanha","solo","notas","alagou"
"1",21157,30439,0,48,268,16,32,"False","False","False","True","Argiloso",NA,"False"
"2",116611,120543,13,43,54,21,44,"False","True","True","True","Arenoso",NA,"False"
"3",10406,16782,13,69,50,33,77,"False","True","False","True","Argiloso","Queimada Recente","True"
"4",43646,67751,4,59,211,20,28,"False","True","True","False","Argiloso",NA,"True"
"5",30371,47977,0,21,237,28,19,"False","False","False","False","Argiloso",NA,"True"
"6",71064,73557,0,13,213,34,6,"False","False","True","True","Arenoso",NA,"True"
"7",59982,56993,26,59,280,21,33,"False","False","False","False","Arenoso",NA,"False"
"8",74852,68808,0,17,184,11,17,"True","True","False","False","Arenoso","Mare alta","True"
"9",47027,54145,16,96,52,28,21,"False","False","True","True","Arenoso",NA,"False"
"10",54973,80130,0,12,27,2,14,"False","True","False","False","Argiloso",NA,"False"
"11",82490,80995,0,17,27,13,6,"False","True","True","False","Arenoso",NA,"False"
"12",171880,278928,33,48,197,30,69,"True","True","True","False","Arenoso",NA,"True"
"13",16176,15436,0,66,5,32,16,"False","False","True","True","Argiloso",NA,"True"
"14",116473,104256,0,2,228,14,15,"False","False","False","False","Arenoso","Historicamente alagavel","False"
"15",72257,89252,21,41,77,8,21,"False","True","False","False","Arenoso",NA,"False"
"16",71057,83617,0,67,26,14,29,"False","False","False","False","Argiloso",NA,"False"
"17",6053,8487,0,31,254,21,8,"True","False","True","False","Argiloso",NA,"False"
"18",104153,102201,0,35,248,14,25,"False","False","True","False","Arenoso",NA,"False"
"19",112304,119742,10,4,360,22,72,"False","False","True","True","Arenoso",NA,"False"
"20",112689,67863,34,42,294,7,46,"False","True","True","False","humífero",NA,"False"
"21",68974,90897,13,18,264,8,47,"False","True","True","False","Argiloso",NA,"False"
"22",114211,166777,0,39,59,6,7,"False","True","True","False","Arenoso","Historicamente alagavel","False"
"23",16660,15352,54,49,77,24,44,"False","True","True","False","Arenoso",NA,"False"
"24",58515,78172,0,3,197,32,27,"True","True","True","False","Arenoso",NA,"False"
"25",77247,131162,0,9,213,17,11,"False","False","False","False","Arenoso",NA,"True"
"26",103205,106831,59,16,64,19,87,"False","False","True","True","Argiloso",NA,"False"
"27",121750,70393,0,25,192,26,10,"False","False","False","False","Argiloso",NA,"False"
"28",193548,191009,0,33,393,32,27,"False","True","True","False","Humífero",NA,"False"
"29",98742,90126,0,72,252,10,3,"True","False","False","False","Arenoso",NA,"False"
"30",90064,58358,0,26,334,29,23,"True","False","False","False","Humífero",NA,"False"
"31",39032,22226,4,38,39,27,15,"True","False","True","True","Argiloso",NA,"False"
"32",90988,87360,57,25,264,1,46,"True","False","True","False","Arenoso",NA,"False"
"33",79105,62927,22,0,60,12,22,"False","True","False","False","Argiloso",NA,"False"
"34",54136,44540,0,36,147,12,21,"False","False","False","False","Arenoso",NA,"False"
"35",61452,69912,0,76,23,11,16,"False","False","False","False","Argiloso",NA,"False"
"36",97481,90786,0,39,39,13,16,"False","False","True","False","Argiloso",NA,"False"
"37",58864,104365,0,29,4,26,10,"False","False","True","False","Argiloso",NA,"True"
