"","vazaoMedia","vazaoAtual","milimitroHora","milimitroDia","milimitroSeteDias","temperatura","velocidadeVento","costa","cidade","vegetacao","montanha","solo","notas","alagou"
"1",35136,53130,0,23,261,28,19,"True","False","True","False","Argiloso",NA,"True"
"2",38725,37951,33,19,211,31,91,"False","True","True","False","Arenoso",NA,"False"
"3",88223,133492,12,18,4,10,34,"False","False","True","True","Argiloso",NA,"True"
"4",17814,10441,21,5,14,14,44,"True","True","True","False","humífero",NA,"False"
"5",53783,48969,16,53,19,13,21,"False","False","True","False","Arenoso",NA,"False"
"6",46175,65185,30,28,316,-1,25,"True","False","True","False","Argiloso",NA,"False"
"7",101950,131506,27,84,76,16,25,"True","False","True","False","Humífero",NA,"False"
"8",94388,139407,0,7,176,23,22,"False","True","True","False","Arenoso","Queimada Recente","False"
"9",5865,5989,11,11,73,-3,67,"False","False","False","True","Argiloso","Mare alta","False"
"10",103802,89495,29,2,448,20,50,"False","False","False","True","Argiloso","Queimada Recente","True"
"11",54456,50581,49,67,180,1,56,"False","True","True","False","Arenoso",NA,"False"
"12",61014,90245,0,37,51,28,14,"False","True","True","False","Arenoso",NA,"False"
"13",10523,13464,0,26,192,-1,6,"False","False","False","False","Arenoso",NA,"False"
"14",94567,111915,0,47,129,20,25,"False","False","False","False","Arenoso",NA,"False"
"15",10870,12135,0,29,285,3,11,"False","False","True","False","Argiloso",NA,"False"
"16",32431,23717,5,10,180,24,16,"True","True","True","True","Arenoso",NA,"False"
"17",55085,63069,26,4,394,30,26,"False","False","True","True","Argiloso",NA,"False"
"18",22291,21528,0,39,158,20,22,"False","True","True","True","Arenoso",NA,"False"
"19",14083,17305,42,18,208,-3,33,"False","False","False","False","Argiloso",NA,"False"
"20",97983,152475,4,15,232,17,30,"False","False","True","False","Humífero",NA,"True"
"21",131385,165023,0,2,4,1,10,"False","False","True","False","Arenoso",NA,"False"
"22",114755,157348,0,8,267,19,21,"False","True","False","False","Arenoso",NA,"False"
"23",5875,5452,53,16,61,20,34,"False","False","True","False","Arenoso",NA,"False"
"24",37188,31954,0,73,56,24,10,"False","False","False","True","Arenoso",NA,"False"
"25",41596,35678,0,11,144,21,19,"False","False","True","False","Arenoso",NA,"False"
"26",19289,26123,4,12,465,13,12,"True","False","False","True","Arenoso",NA,"False"
"27",108310,82870,2,38,21,26,8,"True","True","True","False","Arenoso",NA,"False"
"28",59393,83046,51,51,185,22,51,"True","True","True","True","Arenoso",NA,"False"
"29",10593,9500,24,4,72,8,35,"False","False","True","False","Argiloso",NA,"False"
"30",39013,33445,0,20,27,17,9,"True","False","False","False","Argiloso",NA,"False"
"31",28931,38094,0,29,111,11,17,"False","False","False","True","Argiloso",NA,"False"
"32",91469,142068,23,21,258,20,37,"False","False","True","False","Arenoso",NA,"True"
"33",35213,24546,14,57,213,24,58,"True","False","False","False","Arenoso",NA,"False"
"34",71416,80833,0,81,193,20,25,"True","False","True","False","Argiloso","Queimada Recente","False"
"35",133360,102275,0,47,1,6,26,"True","False","True","False","humífero",NA,"False"
"36",92037,58422,27,10,211,27,59,"False","True","True","False","humífero",NA,"False"
"37",71508,95768,0,2,115,27,35,"True","False","False","False","Argiloso","Mare alta","True"
"38",74223,92704,14,0,224,8,82,"False","False","True","True","Argiloso",NA,"False"
"39",69800,76186,2,24,15,20,5,"False","True","True","False","humífero",NA,"False"
"40",71000,95992,4,22,187,8,29,"True","False","True","False","Arenoso",NA,"False"
"41",123081,95983,0,15,216,24,7,"False","True","True","False","Arenoso",NA,"False"
"42",17251,22481,20,25,363,25,29,"False","False","False","False","Arenoso",NA,"False"
"43",178954,183074,39,20,168,14,55,"False","True","False","False","Arenoso",NA,"False"
"44",68151,79875,4,17,304,14,24,"False","False","True","False","Arenoso",NA,"False"
"45",93144,126471,11,7,97,26,50,"True","False","False","False","Argiloso",NA,"False"
"46",94073,107133,45,43,125,17,73,"False","True","False","False","Arenoso",NA,"True"
"47",63510,49912,0,23,126,26,8,"False","True","True","True","Arenoso",NA,"False"
"48",29104,41616,0,15,233,24,3,"False","False","True","False","Argiloso",NA,"False"
"49",55275,50322,0,30,161,1,5,"False","False","False","True","Arenoso",NA,"False"
"50",55242,65268,0,10,66,7,22,"True","True","True","False","Argiloso",NA,"False"
"51",60975,36921,0,25,74,32,10,"False","True","False","True","Arenoso",NA,"True"
"52",53326,50927,43,19,242,11,38,"False","False","False","False","Arenoso","Historicamente alagavel","True"
"53",13502,14147,33,7,71,6,29,"True","False","True","False","Arenoso","Mare alta","True"
"54",164588,209358,0,50,43,14,18,"False","False","True","False","Arenoso",NA,"False"
"55",95091,59319,12,0,289,14,27,"True","False","True","True","Arenoso",NA,"False"
"56",176696,248484,24,3,260,33,46,"True","True","True","False","Argiloso",NA,"False"
"57",18817,19128,0,20,235,5,15,"True","False","False","True","Arenoso",NA,"False"
"58",45511,42038,0,27,123,31,9,"True","True","True","False","Argiloso",NA,"False"
"59",43478,55692,0,45,257,14,14,"True","False","False","False","Argiloso","Queimada Recente","False"
"60",40621,53787,10,7,331,20,72,"False","False","False","False","Argiloso",NA,"False"
"61",109753,150737,9,51,19,18,26,"True","False","True","False","Arenoso",NA,"False"
"62",123288,138029,0,3,107,15,13,"False","True","False","True","Arenoso","Historicamente alagavel","False"
"63",118961,168043,0,1,355,-1,19,"False","False","False","True","Arenoso","Historicamente alagavel","False"
"64",24193,35302,0,22,13,7,24,"False","False","False","False","Argiloso",NA,"False"
"65",6726,9572,0,27,226,36,12,"True","True","True","False","Arenoso",NA,"False"
"66",100377,124370,0,32,252,24,36,"True","False","False","False","Argiloso",NA,"False"
"67",89838,96121,46,33,80,24,36,"False","False","True","True","Arenoso",NA,"False"
"68",12874,10866,0,3,122,9,35,"False","False","True","False","Argiloso",NA,"False"
"69",158655,95569,0,6,238,12,4,"False","True","False","False","Argiloso",NA,"False"
"70",62349,67823,0,53,2,30,4,"False","True","False","False","Arenoso",NA,"False"
"71",123002,185495,15,2,5,35,69,"False","True","True","False","Arenoso",NA,"True"
"72",31643,47335,28,22,64,25,56,"True","False","False","False","Arenoso",NA,"False"
"73",37301,28375,17,28,12,29,40,"False","True","False","True","Arenoso",NA,"False"
"74",74648,86533,0,75,345,26,9,"False","True","False","False","Arenoso","Historicamente alagavel","False"
"75",72833,68182,0,37,93,19,31,"False","False","True","False","Arenoso","Queimada Recente","False"
"76",51168,49742,0,8,353,22,26,"True","True","True","False","Arenoso",NA,"False"
"77",18653,13498,0,26,139,20,18,"True","False","True","False","Argiloso",NA,"False"
"78",13127,10143,6,8,51,31,25,"False","False","False","False","Argiloso",NA,"False"
"79",6753,6497,18,78,87,23,39,"True","True","True","False","Humífero",NA,"False"
"80",49080,48292,21,7,304,28,48,"False","True","True","True","Argiloso",NA,"False"
"81",179516,216062,13,2,208,22,61,"False","False","False","True","humífero",NA,"False"
"82",113446,108757,0,36,141,31,17,"False","False","True","False","humífero",NA,"False"
"83",14678,21248,15,40,166,20,55,"False","True","True","True","Arenoso",NA,"False"
"84",93309,71892,0,44,360,26,18,"False","False","True","False","Argiloso",NA,"False"
"85",23459,15097,37,50,41,24,28,"True","False","True","True","Arenoso",NA,"False"
"86",182516,280732,13,53,96,15,27,"False","False","False","False","Arenoso",NA,"True"
"87",6829,7779,0,11,73,18,28,"True","False","True","True","Argiloso",NA,"False"
"88",62470,89960,19,19,163,14,21,"False","True","False","False","Arenoso",NA,"False"
"89",10279,13378,0,23,314,20,15,"False","True","True","True","Arenoso",NA,"False"
"90",69137,67038,33,16,92,20,59,"False","False","False","True","humífero",NA,"True"
"91",87604,85822,26,27,88,24,48,"False","False","False","True","Arenoso",NA,"False"
"92",6113,4956,43,58,377,27,83,"False","False","False","False","Arenoso",NA,"True"
"93",7331,9317,0,21,282,27,7,"False","True","True","False","humífero",NA,"False"
"94",64791,61758,0,57,250,9,7,"False","False","False","False","Argiloso",NA,"False"
"95",122254,140889,0,22,124,25,7,"False","True","True","False","Argiloso","Mare alta","False"
"96",26575,38647,0,11,42,32,15,"True","False","True","False","Humífero",NA,"False"
"97",72910,104060,15,47,368,8,70,"False","False","False","False","Humífero",NA,"False"
"98",145405,111938,36,69,335,16,21,"True","False","True","False","Argiloso",NA,"False"
"99",34458,47463,0,36,206,17,18,"True","True","True","True","Argiloso",NA,"False"
"100",54372,66299,38,14,71,25,41,"True","False","True","False","Arenoso",NA,"False"
"101",67633,75214,0,36,79,21,11,"False","True","False","False","Arenoso",NA,"False"
"102",71621,86334,0,57,104,28,19,"True","False","False","True","Argiloso",NA,"False"
"103",43989,54570,37,46,285,32,82,"False","False","False","False","Arenoso",NA,"False"
"104",100579,143234,0,8,24,18,5,"False","False","True","False","Argiloso","Mare alta","False"
